paper_no,paper_key,title,year,field,field_hint,reported,value,unit,evidence_quote,in_retrieved_text,notes,batch
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,code,,n/a,,,,,This is just abstract,1
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,xc_functional,,n/a,,,,,This is just abstract,1
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,pseudopotential_type,,n/a,,,,,This is just abstract,1
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,k_mesh,,n/a,,,,,This is just abstract,1
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,cutoff,,n/a,,,,,This is just abstract,1
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,force_threshold_ev_ang,,n/a,,,,,This is just abstract,1
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,energy_threshold_ev,,n/a,,,,,This is just abstract,1
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,vacuum_spacing_ang,,n/a,,,,,This is just abstract,1
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anis,2020,basis_size,,n/a,,,,,This is just abstract,1
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen produ,2026,code,,y,VASP,,,y,,1
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen produ,2026,xc_functional,,y,GGA-PBE,,,y,,1
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen produ,2026,pseudopotential_type,,y,PAW,,,y,,1
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen produ,2026,k_mesh,,y,9 9 1,,,y,,1
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen produ,2026,cutoff,,y,550,Ev,,y,,1
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen produ,2026,force_threshold_ev_ang,,y,0.01,eV/a,,y,,1
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen produ,2026,energy_threshold_ev,,y,0.0001,,,n,,1
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen produ,2026,vacuum_spacing_ang,,y,20,,,y,,1
