paper_key	doi	oa_url	sha256	n_chars
10.1002_adma.201906238	10.1002/adma.201906238	https://www.osti.gov/biblio/1604823	273e2c10b7b5ec8e3b8616322084a544ebaee4f34e4c4f98b90235167ddd1824	21088
10.1007_s40544-023-0852-5	10.1007/s40544-023-0852-5	https://link.springer.com/content/pdf/10.1007/s40544-023-0852-5.pdf	c9dac6fe1f45b12d1701867abbbfa2ba4016b75058fbdf487bed167a840ce595	54236
10.1016_j.apsusc.2026.167411	10.1016/j.apsusc.2026.167411	https://doi.org/10.1016/j.apsusc.2026.167411	5ef05fc0cf38c636a4f9607238f37298a15a60f590d5c22646a9d954382f92e3	68589
10.1016_j.commatsci.2020.110275	10.1016/j.commatsci.2020.110275	https://arxiv.org/pdf/2101.00879	8ca87e021b496b265cc0322557e00e7bf496b0486aec8a510219db1689650cef	38743
10.1016_j.cplett.2020.138229	10.1016/j.cplett.2020.138229	https://arxiv.org/pdf/2007.12224	dbb74635b03b5634efe68bde4cc4221b794b2a037504276c469f4670fce1f732	30311
10.1016_j.ijhydene.2024.03.016	10.1016/j.ijhydene.2024.03.016	https://arxiv.org/pdf/2404.07793	05d0f7f585c9aa7b767033732cbee8e2a36ddbe7aa155950b9a2a0eec964f221	66883
10.1016_j.ssc.2015.12.012	10.1016/j.ssc.2015.12.012	https://arxiv.org/pdf/1509.04512	b500b5341a5f74821dd14cc117f800602c027d352d62c2678c7f60e021add9d9	15586
10.1021_acs.jpcc.5b04726	10.1021/acs.jpcc.5b04726	https://www.osti.gov/servlets/purl/1356632	b6f4e658af4e48633ea846c99e4b35c8845b325f5fc0b713d766d2ec43487340	29255
10.1021_acs.nanolett.6b01536	10.1021/acs.nanolett.6b01536	https://arxiv.org/pdf/1604.03201	3b7e136af093d0caf7c234475aa41d8dee12e8cd0c8c8cfd9c4f474955663ac5	66392
10.1021_acs.nanolett.6b03921	10.1021/acs.nanolett.6b03921	https://arxiv.org/pdf/1801.08567	0adafad0abb0e39dee10545549c8071d234de988bbec2083a7da05d8d859f70c	32792
