paper_no,paper_key,year,oa_url,code,xc_functional,pseudopotential,k_mesh,cutoff,force_threshold,energy_threshold,vacuum,basis_size,notes,title,
16,10.1080_14686996.2016.1219970,2016,https://www.tandfonline.com/doi/pdf/10.1080/14686996.2016.1219970?needAccess=true,y,y,y,y,y,n,y,y,y ,,Studying the electronic and phononic structure of penta-graphane,
17,10.1088_1367-2630_ac231c,2021,https://iopscience.iop.org/article/10.1088/1367-2630/ac231c/pdf,y,y,y,y,y,n,y,y,y,,Large bulk photovoltaic effect and second-harmonic generation in few-l,
18,10.1103_physrevb.88.054424,2013,http://link.aps.org/pdf/10.1103/PhysRevB.88.054424,y,y,n,y,na,n,n,na,n,,Ab initioinvestigation of the exchange interactions in Bi2Fe4O9: The C,
19,10.1103_physrevb.96.094420,2017,http://link.aps.org/pdf/10.1103/PhysRevB.96.094420,y,y,n,n,n,n,n,na,n,,Spin-reorientation transitions in the Cairo pentagonal magnet Bi4Fe5O1,
20,10.1103_physrevb.98.085437,2018,https://arxiv.org/pdf/1808.00619,y,y,y,y,y,y,y,y,n,,Electronic properties of a π-conjugated Cairo pentagonal lattice: Dire,
21,10.1103_physrevb.98.205425,2018,https://arxiv.org/pdf/1809.05055,y,y,y,y,y,y,n,y,n,,Single-layer antiferromagnetic semiconductor CoS2 with pentagonal stru,
22,10.1103_physrevlett.116.025501,2016,http://link.aps.org/pdf/10.1103/PhysRevLett.116.025501,y,y,y,y,y,n,n,y,n,,Two Dimensional Ice from First Principles: Structures and Phase Transi,
23,10.1109_ted.2021.3119552,2021,https://arxiv.org/pdf/2201.03493,y,y,y, y,y,y,n,y,y,,Performance Investigation of p-FETs Based on Highly Air-Stable Monolay,
24,10.1134_s0021364023600283,2023,https://link.springer.com/content/pdf/10.1134/S0021364023600283.pdf,y,y,y,y,n,y,y,y,n,,Bonding Duality and Optoelectronic Properties of Bilayer Carbon Struct,
25,10.1186_s11671-018-2687-y,2018,https://link.springer.com/content/pdf/10.1186/s11671-018-2687-y.pdf,y,y,n,y,na,y,y,y,n,,First-principles investigation of adsorption behaviors of small molecu,
26,10.1186_s11671-019-3097-5,2019,https://link.springer.com/content/pdf/10.1186/s11671-019-3097-5.pdf,y,y,y,y,y,y,n,n,n ,,First Principles Study of Penta-siligraphene as High-Performance Anode,
27,10.1186_s11671-019-3142-4,2019,https://link.springer.com/content/pdf/10.1186/s11671-019-3142-4.pdf,y,y,n,y,y,y,n,y,n,,Penta-Graphene as a Potential Gas Sensor for NOx Detection,
