paper_no,paper_key,title,year,field,field_hint,reported,value,unit,evidence_quote,notes
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",n,,,,"Stub page (OSTI abstract/references only, no article body)"
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",n,,,,"Stub page (OSTI abstract/references only, no article body)"
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",n,,,,"Stub page (OSTI abstract/references only, no article body)"
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,k_mesh,e.g. 15x15x1; write as printed,n,,,,"Stub page (OSTI abstract/references only, no article body)"
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",n,,,,"Stub page (OSTI abstract/references only, no article body)"
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,force_threshold_ev_ang,force convergence criterion,n,,,,"Stub page (OSTI abstract/references only, no article body)"
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,"Stub page (OSTI abstract/references only, no article body)"
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,"Stub page (OSTI abstract/references only, no article body)"
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n,,,,"Stub page (OSTI abstract/references only, no article body)"
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,First-principles calculations for the pentagonal PdTe2 (penta-PdTe2) monolayer were performed within density functional theory (DFT) using the Vienna ab initio simulation package (VASP) [19].,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,HSE06,,"In addition, the screened hybrid functional HSE06 [21] was employed to obtain improved electronic band-gap estimates.",GGA (PBE) used for relaxation/D3; HSE06 used for electronic properties
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,"The electron–ion interaction was described using the projector augmented-wave (PAW) method, and the Kohn–Sham states were expanded in a plane-wave basis set with an energy cutoff of 550 eV.",
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,k_mesh,e.g. 15x15x1; write as printed,y,9 × 9 × 1,,"Brillouin-zone integrations were carried out using a Monkhorst–Pack 9 × 9 × 1 k-point mesh [23] for geometry relaxation, and a denser grid of 12 × 12 × 1 k-point mesh for density of states calculations.","9x9x1 for relaxation, 12x12x1 for DOS"
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,550,eV,"The electron–ion interaction was described using the projector augmented-wave (PAW) method, and the Kohn–Sham states were expanded in a plane-wave basis set with an energy cutoff of 550 eV.",
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,force_threshold_ev_ang,force convergence criterion,y,0.01,eV/Å,Geometry optimizations were considered converged when the total-energy change was below 10−6 eV and the residual forces on each atom were less than 0.01 eV/Å.,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,energy_threshold_ev,SCF / total-energy convergence criterion,y,10−6,eV,Geometry optimizations were considered converged when the total-energy change was below 10−6 eV and the residual forces on each atom were less than 0.01 eV/Å.,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,20,Å,Periodic-image interactions along the out-of-plane direction were minimized by inserting a vacuum spacing of 20 Å along the z-axis.,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,Plane-wave code (VASP)
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,DMol3,,The structural and electronic properties of PG/O2 complexes were studied using the DMol3 module as implemented in Biovia Materials Studio software [34–36].,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,LDA (PWC),,"In all calculations, the Local Density Approximation (LDA) is considered employing the Perdew-Wang (PWC) functional with unrestricted spin (DNP), and a numerical basis set of atomic orbitals with polarized functions [37, 38].",
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,semi-core DFT pseudopotentials,,"The BSSE correction is used through the counterpoise method, and the nuclei-valence electron interactions are represented by the inclusion of semi-core DFT pseudopotentials [39].",
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,k_mesh,e.g. 15x15x1; write as printed,y,14 × 14 × 1,,The K points in the Brillouin zone are considered within a 14 × 14 × 1 Monkhorst-Pack mesh [40].,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",n,,,,Not reported (DMol3 uses numerical atomic orbitals)
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,force_threshold_ev_ang,force convergence criterion,y,0.002,Ha/Å,"Ground state structures for the PG lattices, as presented in Figure 1, are obtained by deﬁning the following tolerances: 1 × 10−5 for the self-consistent ﬁeld, 0.002 Ha/Å for maximum force, and 0.005 Å for maximum displacement.",0.002 Ha/Å (~0.103 eV/Å)
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,energy_threshold_ev,SCF / total-energy convergence criterion,y,1 × 10−5,,"Ground state structures for the PG lattices, as presented in Figure 1, are obtained by deﬁning the following tolerances: 1 × 10−5 for the self-consistent ﬁeld, 0.002 Ha/Å for maximum force, and 0.005 Å for maximum displacement.",SCF convergence tolerance (dimensionless/Hartree not printed)
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,30,Å,A 3 × 3 supercell with a vacuum space of 30 Å is used to model the interacting PG/O2 complexes.,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",y,DNP,,"In all calculations, the Local Density Approximation (LDA) is considered employing the Perdew-Wang (PWC) functional with unrestricted spin (DNP), and a numerical basis set of atomic orbitals with polarized functions [37, 38].",Double Numerical plus Polarization (DNP) basis set in DMol3
