paper_no,paper_key,title,year,field,field_hint,reported,value,unit,evidence_quote,notes
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",n,,,,Retrieved text only contains abstract and bibliography. Parameters are not explicitly reported in this text.
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",n,,,,Retrieved text only contains abstract and bibliography. Parameters are not explicitly reported in this text.
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",n,,,,Retrieved text only contains abstract and bibliography. Parameters are not explicitly reported in this text.
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,k_mesh,e.g. 15x15x1; write as printed,n,,,,Retrieved text only contains abstract and bibliography. Parameters are not explicitly reported in this text.
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",n,,,,Retrieved text only contains abstract and bibliography. Parameters are not explicitly reported in this text.
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,force_threshold_ev_ang,force convergence criterion,n,,,,Retrieved text only contains abstract and bibliography. Parameters are not explicitly reported in this text.
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Retrieved text only contains abstract and bibliography. Parameters are not explicitly reported in this text.
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Retrieved text only contains abstract and bibliography. Parameters are not explicitly reported in this text.
1,10.1002_adma.201906238,Two‐Dimensional Palladium Diselenide with Strong In‐Plane Optical Anisotropy and High Mobi,2020,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,"VASP (plane-wave) is implied by the bibliography, so basis size is n/a"
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,using the Vienna ab initio simulation package (VASP),
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,GGA,,Exchange-correlation effects were treated using the generalized gradient approximation (GGA),
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,The electron–ion interaction was described using the projector augmented-wave (PAW) method,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,k_mesh,e.g. 15x15x1; write as printed,y,9x9x1,,Brillouin-zone integrations were carried out using a Monkhorst–Pack 9 × 9 × 1 k-point mesh,
